timestamp,availability,mut,mdt,mtbf,prev_git_commit_short
1615460668,0.8,0.8,30.0,150.0,088d4bc
1615460668,0.9230769230769231,0.9230769230769231,22.5,292.5,088d4bc
1615460668,0.875,0.875,25.0,156.25,088d4bc
1615460668,0.9249999999999997,0.9249999999999997,22.5,207.5,088d4bc
1615460668,0.8749999999999997,0.8749999999999997,25.0,156.25,088d4bc
1615460668,0.8717948717948717,0.8717948717948717,25.0,195.0,088d4bc
1615460668,0.8974358974358972,0.8974358974358972,30.0,205.0,088d4bc
1615460668,0.9249999999999999,0.9249999999999999,15.0,153.75,088d4bc
1615460668,0.9487179487179488,0.9487179487179488,15.0,200.0,088d4bc
1615460668,0.9,0.9,30.0,210.0,088d4bc
